City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chimore,-16.9833,-65.1333,26.66,57,90,0.58,BO,1689535925
83,dompu,-8.5356,118.4622,22.91,94,83,1.45,ID,1689535925
84,longyearbyen,78.2186,15.6401,10.91,76,0,5.66,SJ,1689535926
85,nova vicosa,-17.8919,-39.3719,23.44,75,73,3.92,BR,1689535926
86,namtsy,62.7161,129.6658,8.61,74,9,1.43,RU,1689535926
87,arraial do cabo,-22.9661,-42.0278,25.98,65,0,4.63,BR,1689535927
88,keflavik,64.0049,-22.5624,13.95,54,0,9.77,IS,1689535927
89,bethel,41.3712,-73.414,25.47,88,100,0.45,US,1689535928
90,avarua,-21.2078,-159.775,23.03,68,100,0.51,CK,1689535928
91,oyama,36.3,139.8,24.64,72,11,1.28,JP,1689535929
92,shwebo,22.5667,95.7,28.04,71,82,1.84,MM,1689535929
93,new norfolk,-42.7826,147.0587,12.73,68,63,4.92,AU,1689535929
94,georgetown,5.4112,100.3354,27.96,85,20,1.03,MY,1689535741
95,kismayo,-0.3582,42.5454,24.97,80,100,7.64,SO,1689535930
96,edinburgh of the seven seas,-37.0676,-12.3116,12.97,77,10,12.77,SH,1689535931
97,hamilton,39.1834,-84.5333,30.14,59,0,4.63,US,1689535735
98,thompson,55.7435,-97.8558,15.09,72,100,2.06,CA,1689535931
99,malvan,16.0667,73.4667,26.65,85,100,4.48,IN,1689535932
100,daru,-9.0763,143.2092,24.21,87,93,5.61,PG,1689535932
101,susuman,62.7833,148.1667,16.42,68,97,1.51,RU,1689535932
102,fort mcmurray,56.7268,-111.381,23.77,46,20,5.14,CA,1689535811
103,vorgashor,67.5833,63.95,14.41,90,87,2.27,RU,1689535933
104,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1689535934
105,kapa'a,22.0752,-159.319,28.18,74,75,6.17,US,1689535934
106,napier,-39.4833,176.9167,7.93,81,23,1.79,NZ,1689535935
107,margaret river,-33.95,115.0667,15.37,84,61,6.29,AU,1689535935
108,queenstown,-31.8976,26.8753,10.44,45,51,2.23,ZA,1689535935
109,hood river,45.7054,-121.5215,36.86,37,0,4.02,US,1689535936
110,hato mayor del rey,18.7628,-69.2568,31.78,53,100,3.73,DO,1689535936
111,nova sintra,14.8667,-24.7167,23.08,84,98,3.29,CV,1689535937
112,yellowknife,62.456,-114.3525,22.29,49,75,6.17,CA,1689535772
113,rongelap,11.1635,166.8941,28.21,75,94,6.27,MH,1689535275
114,tralee,52.2704,-9.7026,12.79,89,99,4.75,IE,1689535887
115,mabaruma,8.2,-59.7833,30.09,64,38,2.78,GY,1689535938
116,iqaluit,63.7506,-68.5145,9.85,87,100,3.6,CA,1689535813
117,sungailiat,-1.85,106.1333,26.34,85,51,5.24,ID,1689535389
118,bilibino,68.0546,166.4372,23.39,40,10,1.9,RU,1689535939
119,constantia,44.1833,28.65,23.38,68,0,4.52,RO,1689535804
120,midvagur,62.0511,-7.1939,9.46,87,100,5.66,FO,1689535940
121,antsiranana,-12.2787,49.2917,22.77,80,14,4.6,MG,1689535940
122,taoudenni,22.6783,-3.9836,39.75,21,19,6.08,ML,1689535941
123,nowshahr,36.649,51.496,28.97,74,75,1.03,IR,1689535941
124,torghay,49.6339,63.4981,25.36,32,100,4.27,KZ,1689535942
125,uturoa,-16.7333,-151.4333,25.7,67,1,3.61,PF,1689535942
126,paracuru,-3.41,-39.0306,27.28,72,58,6.61,BR,1689535942
127,cooper's town,26.8667,-77.5167,29.31,76,100,5.47,BS,1689535943
128,valparaiso,-33.0393,-71.6273,18.13,59,0,5.14,CL,1689535734
129,tobelo,1.7284,128.0095,24.51,91,100,1.69,ID,1689535944
130,la sarre,48.8002,-79.1996,25.78,41,36,1.98,CA,1689535944
131,urucara,-2.5364,-57.76,34.56,38,100,1.79,BR,1689535945
132,nemuro,43.3236,145.575,12.92,94,100,3.36,JP,1689535945
133,abergavenny,51.821,-3.0174,17.23,85,3,5.45,GB,1689535945
134,akkol',48.7833,53.2,18.95,69,100,7.54,KZ,1689535946
135,mount isa,-20.7333,139.5,19.87,60,100,2.06,AU,1689535946
136,pumiao,22.75,108.4833,30.22,64,100,3.37,CN,1689535397
137,almeirim,-1.5233,-52.5817,31.38,53,65,1.75,BR,1689535947
138,serenje,-13.2325,30.2352,11.43,65,2,3.01,ZM,1689535947
139,miquelon,47.0975,-56.3814,18.0,98,97,3.32,PM,1689535948
140,yeed,4.55,43.0333,26.52,50,49,5.45,SO,1689535948
141,twin falls,42.3505,-114.6445,32.94,31,0,4.12,US,1689535949
142,vila velha,-20.3297,-40.2925,25.97,66,0,4.12,BR,1689535949
143,jamestown,42.097,-79.2353,27.79,58,75,5.81,US,1689535705
144,kotabumi,-4.8333,104.9,22.66,95,2,1.55,ID,1689535950
145,iskateley,67.6803,53.1512,14.85,86,59,4.29,RU,1689535951
146,plastun,44.7561,136.2939,14.47,94,100,0.61,RU,1689535392
147,mountain home,43.133,-115.6912,36.75,18,20,3.6,US,1689535951
148,salekhard,66.53,66.6019,16.03,71,41,4.26,RU,1689535952
149,callao,-12.0667,-77.15,22.16,68,100,4.63,PE,1689535952
150,cherdyn',60.403,56.4787,12.74,80,9,1.42,RU,1689535952
151,saldanha,-33.0117,17.9442,12.03,90,100,2.25,ZA,1689535953
152,stanley,54.868,-1.6985,16.05,75,20,5.66,GB,1689535953
153,lodja,-3.4833,23.4333,28.24,35,92,0.77,CD,1689535953
154,palencia,42.4167,-4.5,25.06,76,7,7.01,ES,1689535954
155,el battan,36.8037,9.8442,31.82,40,5,2.03,TN,1689535954
156,bredasdorp,-34.5322,20.0403,13.27,84,100,2.71,ZA,1689535954
157,hithadhoo,-0.6,73.0833,27.5,75,2,0.12,MV,1689535955
158,talagang,32.9297,72.4158,31.27,58,7,3.97,PK,1689535955
159,wailua homesteads,22.0669,-159.378,27.44,75,75,6.17,US,1689535956
160,nuku'alofa,-21.1333,-175.2,20.19,77,20,4.63,TO,1689535956
161,st. john's,47.5649,-52.7093,25.71,69,75,7.2,CA,1689535903
162,tortum,40.2973,41.5477,15.97,94,70,2.98,TR,1689535957
163,peterborough,52.5736,-0.2478,17.4,82,100,6.69,GB,1689535824
164,malango,-2.9627,119.9001,18.11,96,100,0.65,ID,1689535957
165,lorengau,-2.0226,147.2712,27.48,80,21,4.31,PG,1689535376
166,utrik,11.2278,169.8474,27.58,80,44,6.81,MH,1689535958
167,hell-ville,-13.4,48.2667,25.77,67,41,1.21,MG,1689535958
168,howard springs,-12.497,131.047,23.95,58,99,2.59,AU,1689535959
169,west island,-12.1568,96.8225,24.99,69,40,4.12,CC,1689535959
170,egilsstadir,65.2653,-14.3948,7.95,87,75,1.54,IS,1689535959
171,bereznik,62.8551,42.7072,18.58,67,96,1.49,RU,1689535380
172,coahuayana de hidalgo,18.7,-103.6583,34.66,53,56,3.3,MX,1689535960
173,dryden,49.7833,-92.7503,15.16,88,100,4.12,CA,1689535393
174,ghormach,35.7306,63.7826,29.06,17,0,3.88,AF,1689535961
175,port elizabeth,-33.918,25.5701,15.16,82,0,2.57,ZA,1689535961
176,ancud,-41.8697,-73.8203,6.28,63,6,3.47,CL,1689535961
177,kolosovka,56.4678,73.611,13.51,81,100,2.4,RU,1689535962
178,miagao,10.6442,122.2352,25.92,88,88,3.71,PH,1689535962
179,hermanus,-34.4187,19.2345,11.0,86,100,3.47,ZA,1689535962
180,ilhabela,-23.7781,-45.3581,20.38,77,7,0.82,BR,1689535963
181,lebu,-37.6167,-73.65,9.38,67,100,6.76,CL,1689535963
182,fauske,67.2588,15.3918,15.25,90,100,2.23,NO,1689535963
183,wanning,18.8003,110.3967,25.01,92,100,3.06,CN,1689535964
184,olonkinbyen,70.9221,-8.7187,4.26,96,100,10.07,SJ,1689535964
185,papatowai,-46.5619,169.4708,9.61,79,39,7.21,NZ,1689535965
186,machico,32.7,-16.7667,24.28,68,40,5.14,PT,1689535965
187,acarau,-2.8856,-40.12,27.75,70,62,7.2,BR,1689535966
188,santa elena de uairen,4.6167,-61.1333,25.37,66,35,3.63,VE,1689535966
189,kaesong,37.9708,126.5544,21.53,98,100,1.08,KP,1689535966
190,birobidzhan,48.8,132.95,15.38,98,100,1.75,RU,1689535967
191,virginia,37.5481,-77.4467,30.19,78,75,4.63,US,1689535728
192,megion,61.0296,76.1136,12.01,66,19,3.4,RU,1689535967
193,sao geraldo do araguaia,-6.4006,-48.555,35.12,25,2,1.98,BR,1689535968
194,akureyri,65.6835,-18.0878,7.96,81,75,6.69,IS,1689535380
195,usogorsk,63.4106,48.6872,17.8,75,73,1.72,RU,1689535968
196,wawer,52.2204,21.1371,26.23,58,0,3.6,PL,1689535969
197,sabang,5.8933,95.3214,28.16,77,100,9.89,ID,1689535969
198,bay roberts,47.5999,-53.2648,25.92,75,27,3.13,CA,1689535969
199,kununurra,-15.7667,128.7333,23.99,46,5,5.14,AU,1689535970
200,buala,-8.145,159.5921,26.47,84,100,2.19,SB,1689535970
201,tazacorte,28.629,-17.9293,24.54,70,40,7.2,ES,1689535970
202,inari,68.906,27.0288,21.11,62,100,1.89,FI,1689535971
